date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
21.01.02;15:36:39;22.5;55;1004;237;6.1;4;8;8;462094;
21.01.02;15:36:49;22.5;55;1004;221;5.6;5;10;10;451997;
21.01.02;15:37:00;22.5;55;1004;246;6.8;5;7;7;447259;
21.01.02;15:37:10;22.4;55;1004;242;6.2;4;7;7;455010;
21.01.02;15:37:21;22.5;55;1004;234;6.2;4;6;7;455010;
21.01.02;15:37:31;22.5;55;1004;251;5.7;6;7;8;444927;
21.01.02;15:37:42;22.5;55;1004;243;5.1;6;6;8;448140;
21.01.02;15:37:52;22.5;55;1004;253;5.2;6;7;8;452597;
21.01.02;15:38:03;22.5;55;1004;232;4.8;5;8;8;442046;
21.01.02;15:38:13;22.5;55;1004;246;4.5;4;7;7;438638;
21.01.02;15:38:24;22.5;55;1004;246;6.1;4;7;7;438075;
21.01.02;15:38:34;22.5;55;1004;237;4.5;5;7;8;446382;
21.01.02;15:38:45;22.5;55;1004;246;6.1;5;7;8;453198;
21.01.02;15:38:55;22.5;55;1004;250;3.8;5;8;8;459915;
21.01.02;15:39:06;22.4;55;1004;251;5.2;4;9;10;474623;
21.01.02;15:39:16;22.5;54;1004;246;6.0;5;10;11;479289;
21.01.02;15:39:27;22.3;54;1004;251;4.6;6;9;9;499269;
21.01.02;15:39:37;22.3;54;1004;251;3.6;5;8;8;515480;
